,Make,Model,MSRP,CO2 Emissions(g/km)
0,FIAT,124 Spider,27495,186.0
1,Chrysler,200,25170,215.5
2,Chrysler,300,37570,254.9
3,Nissan,370Z,46790,264.0
4,Mazda,3,25045,81.0
5,Alfa Romeo,4C,63900,195.0
6,FIAT,500,26595,193.25
7,FIAT,500L,19345,210.6
8,FIAT,500X,24635,207.33333333333334
9,Toyota,86,26255,218.0
10,Audi,A3,35150,191.66666666666666
11,Audi,A4,45000,195.6
12,Audi,A8,85200,255.375
13,GMC,Acadia,33975,245.0
14,Hyundai,Accent,17395,168.25
15,Honda,Accord Hybrid,31905,117.0
16,Honda,Accord,30775,186.25
17,Nissan,Altima,22560,174.0
18,Cadillac,ATS-V,62665,290.3333333333333
19,Cadillac,ATS,41340,227.94736842105263
20,Toyota,Avalon,37170,220.0
21,Volkswagen,Beetle Convertible,27295,191.0
22,Volkswagen,Beetle,25895,191.0
23,Porsche,Boxster,62100,224.0
24,Subaru,BRZ,29490,212.21428571428572
25,Kia,Cadenza,34900,238.0
26,Chevrolet,Camaro,29205,244.875
27,Toyota,Camry,26150,187.0
28,GMC,Canyon,29730,263.2857142857143
29,Porsche,Cayenne,74100,267.0
30,Porsche,Cayman,52600,224.0
31,Volkswagen,CC,34275,220.0
32,Dodge,Challenger,31995,291.3333333333333
33,Dodge,Charger,47995,256.5
34,Chevrolet,Colorado,29220,263.2857142857143
35,Bentley,Continental GT,177500,327.5
36,Toyota,Corolla,18965,170.14285714285714
37,Chevrolet,Corvette,68160,291.6666666666667
38,Honda,CR-V,26470,185.28571428571428
39,Honda,CR-Z,20645,155.66666666666666
40,Chevrolet,Cruze,16170,172.0
41,Lexus,CT 200h,32200,131.0
42,Cadillac,CT6,58395,223.0
43,Cadillac,CTS-V,63600,331.75
44,Cadillac,CTS,54970,231.1
45,Mazda,CX-3,19960,181.57142857142858
46,Mazda,CX-5,22795,196.5
47,Mazda,CX-9,31575,248.2
48,Rolls-Royce,Dawn,335000,398.5
49,Aston Martin,DB9 GT,235307,365.0
50,Aston Martin,DB9,200800,359.0
51,Land Rover,Discovery Sport,37070,246.0
52,Ford,Edge,30095,226.5
53,Hyundai,Elantra GT,19800,207.375
54,Hyundai,Elantra,22600,190.75
55,Buick,Enclave,49305,263.0
56,Buick,Encore,29450,204.0
57,Chevrolet,Equinox,26270,197.0
58,Lexus,ES 300h,40580,134.14285714285714
59,Lexus,ES 350,37700,220.42857142857142
60,Ford,Escape,29735,199.5
61,Ford,F-150,45090,273.25
62,Ford,Fiesta,18405,181.0
63,Honda,Fit,15650,163.66666666666666
64,Ford,Flex,32100,298.0
65,Bentley,Flying Spur,200500,373.0
66,Kia,Forte,19590,174.6
67,Scion,FR-S,24700,207.66666666666666
68,Nissan,Frontier,32560,287.3333333333333
69,Ford,Fusion Hybrid,27380,131.0
70,Ford,Fusion,27830,203.5
71,Maserati,Ghibli,77900,286.0
72,Rolls-Royce,Ghost,263200,398.5
73,Volkswagen,Golf Alltrack,26950,222.5
74,Volkswagen,Golf GTI,29280,202.75
75,Volkswagen,Golf R,39090,222.5
76,Volkswagen,Golf SportWagen,31445,175.0
77,Volkswagen,Golf,26995,173.75
78,Dodge,Grand Caravan,30995,276.0
79,Maserati,GranTurismo Convertible,143300,354.0
80,Lexus,GS 200t,53285,212.0
81,Lexus,GS 350,55070,240.0
82,Lexus,GS 450h,60430,175.2
83,Lexus,GS F,84440,293.0
84,Nissan,GT-R,111510,296.57142857142856
85,Lexus,GX 460,49485,331.7142857142857
86,Toyota,Highlander,34750,241.5
87,Honda,HR-V,22065,183.54545454545453
88,Acura,ILX,29350,199.22222222222223
89,Chevrolet,Impala,34465,245.0
90,Scion,iM,18460,176.5
91,Scion,iQ,17850,145.0
92,Lexus,IS 200t,37325,213.0
93,Lexus,IS 250 C,42860,222.0
94,Lexus,IS 250,36100,222.0
95,Lexus,IS 300,39700,218.0
96,Lexus,IS 350 C,47140,244.0
97,Lexus,IS 350,39615,244.66666666666666
98,Lexus,IS F,63600,290.0
99,Volkswagen,Jetta GLI,24535,197.5
100,Volkswagen,Jetta,22325,162.5
101,Dodge,Journey,33295,261.0
102,Kia,K900,59900,294.25
103,Buick,LaCrosse,35725,233.0
104,Maserati,Levante,83000,324.0
105,Land Rover,LR2,36600,274.0
106,Land Rover,LR4,49700,333.0
107,Lexus,LS 460,82305,284.0
108,Lexus,LS 600h L,120060,264.6666666666667
109,Lexus,LX 570,83180,377.42857142857144
110,BMW,M2,51700,254.66666666666666
111,BMW,M3,62000,277.5
112,BMW,M5,92900,328.8
113,BMW,M6 Gran Coupe,115700,344.0
114,BMW,M6,118200,331.1666666666667
115,Porsche,Macan,72300,264.0
116,Chevrolet,Malibu,28195,197.75
117,Nissan,Maxima,34380,233.0
118,Mitsubishi,Mirage G4,13995,150.5
119,Mitsubishi,Mirage,12995,147.0
120,Lincoln,MKZ,45555,228.83333333333334
121,Bentley,Mulsanne,298900,465.0
122,Nissan,Murano,39000,240.0
123,Ford,Mustang,41800,262.0
124,Acura,NSX,156000,261.0
125,Honda,Odyssey,37775,250.0
126,Kia,Optima Hybrid,32150,132.5
127,Kia,Optima,25995,209.33333333333334
128,Chrysler,Pacifica,42495,259.0
129,Porsche,Panamera,200500,250.0
130,Volkswagen,Passat,26280,196.5
131,Nissan,Pathfinder,29510,240.0
132,Rolls-Royce,Phantom,402940,382.0
133,Honda,Pilot,33720,250.0
134,Toyota,Prius c,20030,120.0
135,Toyota,Prius,25765,105.5
136,Audi,Q3,32500,239.5
137,Infiniti,Q50,38950,232.0
138,Audi,Q5,52900,243.66666666666666
139,Infiniti,Q70,51750,268.5
140,Audi,Q7,64900,272.77777777777777
141,Infiniti,QX60,45400,241.0
142,Audi,R8,164700,356.6
143,Land Rover,Range Rover Evoque,60000,225.0
144,Toyota,RAV4,25240,201.0
145,Lexus,RC 200t,39995,214.0
146,Lexus,RC 350,42790,245.0
147,Lexus,RC F,62400,288.5
148,Buick,Regal,28565,212.5
149,Kia,Rio,15190,167.5
150,Acura,RLX,50950,231.66666666666666
151,Nissan,Rogue,24140,192.0
152,Audi,RS 5,69600,286.6666666666667
153,Audi,RS 7,106500,308.25
154,Audi,S3,41100,221.2
155,Audi,S4,49500,253.71428571428572
156,Audi,S5,67350,256.44444444444446
157,Volvo,S60,35450,223.0
158,Audi,S6,75500,273.2
159,Audi,S7,82500,273.6
160,Volvo,S80,39900,235.0
161,Audi,S8,114900,309.0
162,Hyundai,Santa Fe,30150,225.0
163,Kia,Sedona,36300,271.5
164,Nissan,Sentra,20720,177.5
165,Toyota,Sienna,42880,256.5
166,Hyundai,Sonata Hybrid,26000,126.0
167,Hyundai,Sonata,23175,193.25
168,Kia,Sorento,38500,225.0
169,Kia,Soul,16900,199.4
170,Chevrolet,Spark,14040,168.5
171,Kia,Sportage,21900,216.0
172,Audi,SQ5,52700,279.0
173,Cadillac,SRX,48065,284.3333333333333
174,Chevrolet,Suburban,54205,314.0
175,Toyota,Tacoma,27355,263.0
176,Chevrolet,Tahoe,54505,314.0
177,Scion,tC,21400,208.16666666666666
178,GMC,Terrain,24070,200.66666666666666
179,Volkswagen,Tiguan,30225,221.0
180,Nissan,Titan,39780,312.0
181,Acura,TL,37530,232.0
182,Acura,TLX,41575,201.0
183,Chevrolet,Traverse,43935,261.0
184,Chevrolet,Trax,25030,195.33333333333334
185,Acura,TSX,31635,225.33333333333334
186,Hyundai,Tucson,26450,216.0
187,Toyota,Tundra,33210,371.0
188,Hyundai,Veloster,23300,194.66666666666666
189,Nissan,Versa,13990,170.75
190,Rolls-Royce,Wraith,284900,387.5
191,Subaru,WRX,37395,255.5
192,BMW,X5 M,98700,340.25
193,BMW,X6 M,102100,345.3333333333333
194,Scion,xB,16970,226.5
195,Volvo,XC60,51050,258.0
196,Scion,xD,15920,183.0
197,Cadillac,XT5,62500,243.0
198,Cadillac,XTS,64245,260.6666666666667
199,Toyota,Yaris,16820,155.0
200,GMC,Yukon XL,61925,314.0
201,GMC,Yukon,50740,314.0
